pID,pName,options,suggestion
155L,Reflex Blue,"[{""name"":""4 oz *OUT OF STOCK*"",""price"":1205},{""name"":""8 oz *OUT OF STOCK*"",""price"":1723},{""name"":""Pint"",""price"":2517},{""name"":""Quart"",""price"":4475}]","[""Not All Prices Match"",{""name"":""One Shot 155L Reflex Blue 4oz"",""price"":1205},{""name"":""One Shot 155L Reflex Blue 8oz"",""price"":1722},{""name"":""One Shot 155L Reflex Blue 16oz"",""price"":2517},{""name"":""One Shot 155L Reflex Blue 32oz"",""price"":4498}]"
EBA-12,Regular Pink,"[{""name"":""1oz"",""price"":1300},{""name"":""4oz"",""price"":3750}]","[""Success-1"",{""name"":""European Body Art ENDURA Pink  1oz"",""price"":1300},{""name"":""European Body Art ENDURA Pink  4oz"",""price"":3750}]"
4008,Restorer,"[{""name"":""4 oz"",""price"":595},{""name"":""16 oz"",""price"":1495}]","[""Success-1"",{""name"":""Auto-Air 4008 Restorer 4oz (Interchangeable with 5619-04)"",""price"":595},{""name"":""Createx Restorer 16oz"",""price"":1495}]"
R-100,Retarder,"[{""name"":""8 oz"",""price"":1400},{""name"":""16 oz"",""price"":2000}]","[""More Suggestions:4"",{""name"":""Aqua Flow Retarder 16oz"",""price"":1500},{""name"":""Aqua Flow Retarder 2oz"",""price"":300},{""name"":""Aqua Flow Retarder 4oz"",""price"":600},{""name"":""Aqua Flow Retarder 8oz"",""price"":900}]"
F31,Rich Gold,"[{""name"":""1 oz by vol."",""price"":1195},{""name"":""6 oz"",""price"":5999}]","[""No Suggestions""]"
151L,Robin Egg Blue,"[{""name"":""4 oz"",""price"":928},{""name"":""8 oz"",""price"":1395},{""name"":""Pint"",""price"":1967},{""name"":""Quart"",""price"":3539}]","[""Not All Prices Match"",{""name"":""One Shot 151L Robin Egg Blue 4oz"",""price"":928},{""name"":""One Shot 151L Robin Egg Blue 8oz"",""price"":1392},{""name"":""One Shot 151L Robin Egg Blue 16oz"",""price"":1967},{""name"":""One Shot 151L Robin Egg Blue 32oz"",""price"":3539}]"
GS-24,Roland Camm-1 Servo GS-24,"[{""name"":""GXS-24"",""price"":0}]","[""No Suggestions""]"
KK07,Root Beer,"[{""name"":""1 oz"",""price"":995},{""name"":""2 oz"",""price"":1695},{""name"":""4 oz"",""price"":2995},{""name"":""Half Pint"",""price"":4508}]","[""No Suggestions""]"
KK07RTS,Root Beer (Ready to Spray),"[{""name"":""2 oz"",""price"":1495},{""name"":""4 oz"",""price"":2495},{""name"":""8 oz"",""price"":4500}]","[""Not All Prices Match"",{""name"":""HoK Kandy Koncentrate 07 Rootbeer Ready To Spray 2oz"",""price"":1695},{""name"":""HoK Kandy Koncentrate 07 Rootbeer Ready To Spray 4oz"",""price"":2995},{""name"":""HoK Kandy Koncentrate 07 Rootbeer Ready To Spray 8oz"",""price"":4508}]"
KBC07,Root Beer Kandy Basecoat,"[{""name"":""4 oz"",""price"":2267},{""name"":""8 oz"",""price"":4121},{""name"":""16 oz"",""price"":7493},{""name"":""4oz PRE REDUCED 1:1"",""price"":2267},{""name"":""8oz PRE REDUCED 1:1"",""price"":4121},{""name"":""16oz PRE REDUCED 1:1"",""price"":7493},{""name"":""Quart"",""price"":11477},{""name"":""12oz AEROSOL Spray Can"",""price"":3317}]","[""Less Suggestions"",{""name"":""HoK Kandy Basecoat 07 Rootbeer 4oz"",""price"":2872},{""name"":""HoK Kandy Basecoat 07 Rootbeer 8oz"",""price"":5221},{""name"":""HoK Kandy Basecoat 07 Rootbeer 16oz"",""price"":9493},{""name"":""HoK Kandy Basecoat 07 Rootbeer 32oz"",""price"":14539}]"
F22,Royal Blue,"[{""name"":""1 oz by vol."",""price"":995},{""name"":""6 oz"",""price"":4895}]","[""Not All Prices Match"",{""name"":""Hok Flake F22 Royal Blue II 1oz"",""price"":1280},{""name"":""Hok Flake F22 Royal Blue II 6oz"",""price"":5376}]"
165L,Rubine Red,"[{""name"":""4 oz"",""price"":1410},{""name"":""8 oz"",""price"":2066},{""name"":""Pint"",""price"":3012},{""name"":""Quart"",""price"":5465}]","[""Success-1"",{""name"":""One Shot 165L Rubine Red 4oz"",""price"":1410},{""name"":""One Shot 165L Rubine Red 8oz"",""price"":2066},{""name"":""One Shot 165L Rubine Red 16oz"",""price"":3012},{""name"":""One Shot 165L Rubine Red 32oz"",""price"":5465}]"
RUP9DAC,RUPES DA COARSE Compound,"[{""name"":""DA COARSE (250ml/8.45oz)"",""price"":1799},{""name"":""DA COARSE (1000ml/33.8oz)"",""price"":5599}]","[""Not All Prices Match"",{""name"":""Rupes Compound DA COARSE 250ml"",""price"":1800},{""name"":""Rupes Compound DA COARSE 1000ml"",""price"":5600},""Parenthesis"",""Match Number: 0""]"
RUP9DAF,RUPES DA FINE Compound,"[{""name"":""DA FINE (250ml/8.45oz)"",""price"":1599},{""name"":""DA FINE (1000ml/33.8oz)"",""price"":4799}]","[""Not All Prices Match"",{""name"":""Rupes Compound DA FINE 250ml"",""price"":1600},{""name"":""Rupes Compound DA FINE 1000ml"",""price"":4800},""Parenthesis"",""Match Number: 0""]"
RUP9PRO,RUPES UNO PROTECT All In One Polish,"[{""name"":""UNO All In One (250ml/8.45oz)"",""price"":1299},{""name"":""UNO All In One (1000ml/33.8oz)"",""price"":3599}]","[""Not All Prices Match"",{""name"":""Rupes Compound Uno PROTECT ALL IN ONE 250ml"",""price"":1383},{""name"":""Rupes Compound Uno PROTECT ALL IN ONE 1000ml"",""price"":3600},""Parenthesis"",""Match Number: 0""]"
RUP9PUR,RUPES UNO PURE Ultra Fine Polish,"[{""name"":""UNO ULTRA FINE (250ml/8.45oz)"",""price"":1299},{""name"":""UNO All In One (1000ml/33.8oz)"",""price"":3599}]","[""Not All Prices Match"",{""name"":""Rupes Compound Uno ULTRA FINE Polish 250ml"",""price"":1383},{""name"":""Rupes Compound Uno ULTRA FINE Polish 1000ml"",""price"":3600},""Parenthesis"",""Match Number: 0""]"
EBAV-09,Rust Red,"[{""name"":""1oz"",""price"":1300},{""name"":""4oz"",""price"":3900}]","[""Success-1"",{""name"":""European Body Art VIBE FX Rust Red 1oz"",""price"":1300},{""name"":""European Body Art VIBE FX Rust Red 4oz"",""price"":3900}]"
EBAV-14,Rust Yellow,"[{""name"":""1oz"",""price"":1300},{""name"":""4oz"",""price"":3900}]","[""Not All Prices Match"",{""name"":""European Body Art VIBE FX Rust Yellow 1oz"",""price"":1200},{""name"":""European Body Art VIBE FX Rust Yellow 4oz"",""price"":3600}]"
RZ-FILTERS,RZ Replacement Filters Pk of 3,"[{""name"":""Medium (RZ-FILTERS-M)"",""price"":0},{""name"":""Large (RZ-FILTERS-L)"",""price"":0},{""name"":""XL (RZ-FILTERS-XL)"",""price"":0}]","[""Not All Prices Match"",{""name"":""RZ Mask/Respirator Refill 3/Pack X-Large"",""price"":995},{""name"":""RZ Mask/Respirator Refill 3/Pack Youth"",""price"":995},{""name"":""RZ Mask/Respirator Refill 3/Pack Regular"",""price"":999},""Parenthesis"",""Match Number: 0""]"
RZ-MASK,RZ Safety Mask / Respirator M2,"[{""name"":""Medium (RZ001-M)"",""price"":0},{""name"":""Large/Regular (RZ001-L)  **UNAVAILABLE**"",""price"":0},{""name"":""XL (RZ001-XL) **UNAVAILABLE**"",""price"":0}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
COVERALL,S.A.S. Safety GEN-NEX Coverall,"[{""name"":""6851 (Small)"",""price"":650},{""name"":""6852 (Medium)"",""price"":650},{""name"":""6853 (Large)"",""price"":650},{""name"":""6854 (X-Large)"",""price"":650},{""name"":""6855 (2X-Large)"",""price"":715},{""name"":""6856 (3X-Large)"",""price"":715}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
SBMM,S/B Mixing Medium,"[{""name"":""1oz (SBMM1)"",""price"":3500},{""name"":""4oz (SBMM4)"",""price"":12000}]","[""No Suggestions"",""Parenthesis"",""Success-2"",{""name"":""Temptu S/B Mixing Medium 1oz"",""price"":3500},{""name"":""Temptu S/B Mixing Medium 4oz"",""price"":12000}]"
SBPRIM,S/B Primer,"[{""name"":""1oz (SBPRIM1)"",""price"":2195},{""name"":""4oz (SBPRIM4)"",""price"":6995}]","[""No Suggestions"",""Parenthesis"",""Success-2"",{""name"":""Temptu S/B Primer 1oz"",""price"":2195},{""name"":""Temptu S/B Primer 4oz"",""price"":6995}]"
KU152,S2 Catalyst,"[{""name"":""KU152-HP (Half Pint)"",""price"":2839},{""name"":""KU152-Q (Quart)"",""price"":8420}]","[""Not All Prices Match"",{""name"":""HoK S2 KU152 Catalyst 8oz"",""price"":3602},{""name"":""HoK S2 KU152 Catalyst 32oz"",""price"":10199},""Parenthesis"",""Match Number: 0""]"
168L,Salmon Pink,"[{""name"":""4 oz"",""price"":1241},{""name"":""8 oz"",""price"":1767},{""name"":""Pint"",""price"":2571},{""name"":""Quart"",""price"":4605}]","[""Not All Prices Match"",{""name"":""One Shot 168L Salmon Pink 4oz"",""price"":1241},{""name"":""One Shot 168L Salmon Pink 8oz"",""price"":1767},{""name"":""One Shot 168L Salmon Pink 16oz"",""price"":2570},{""name"":""One Shot 168L Salmon Pink 32oz"",""price"":4605}]"
5126,Sand,"[{""name"":""2 oz"",""price"":361},{""name"":""4 oz"",""price"":562},{""name"":""8 oz"",""price"":1087},{""name"":""16 oz"",""price"":2021},{""name"":""32 oz"",""price"":3333},{""name"":""Gallon"",""price"":11464}]","[""Not All Prices Match"",{""name"":""Createx 5126 Transparent Sand 2oz"",""price"":295},{""name"":""Createx 5126 Transparent Sand 4oz"",""price"":450},{""name"":""Createx 5126 Transparent Sand 8oz"",""price"":875},{""name"":""Createx 5126 Transparent Sand 16oz"",""price"":1600},{""name"":""Createx 5126 Transparent Sand 32oz"",""price"":3333},{""name"":""Createx 5126 Transparent Sand Gallon"",""price"":11464}]"
DA04,Sand,"[{""name"":""1 oz"",""price"":1050},{""name"":""4 oz"",""price"":2695},{""name"":""16oz"",""price"":10200}]","[""Less Suggestions"",{""name"":""Temptu Dura Skin Tone 04 Sand 1oz"",""price"":1350},{""name"":""Temptu Dura Skin Tone 04 Sand 4oz"",""price"":3150}]"
S/B-004,Sand Foundation,"[{""name"":""1 oz"",""price"":2350},{""name"":""4 oz"",""price"":8500}]","[""Success-1"",{""name"":""Temptu S/B Foundation 004 Sand 1oz"",""price"":2350},{""name"":""Temptu S/B Foundation 004 Sand 4oz"",""price"":8500}]"
SATA4000HVLP,Sata Jet 4000 B HVLP Gun,"[{""name"":""(166868) SATAjet 4000 HVLP 1.0mm w/ QCC"",""price"":0},{""name"":""(166199) SATAjet 4000 HVLP 1.2mm w/ QCC"",""price"":0},{""name"":""(166876) SATAjet 4000 HVLP 1.3mm w/ QCC"",""price"":0},{""name"":""(166892) SATAjet 4000 HVLP 1.4mm w/ QCC"",""price"":0},{""name"":""(166900) SATAjet 4000 HVLP 1.5mm w/ QCC"",""price"":0},{""name"":""(168732) SATAjet 4000 HVLP 1.7mm w/ QCC"",""price"":0},{""name"":""(168740) SATAjet 4000 HVLP 1.9mm w/ QCC"",""price"":0},{""name"":""(168757) SATAjet 4000 HVLP 2.2mm w/ QCC"",""price"":0},{""name"":""(166223) SATAjet 4000 HVLP 1.2mm DIGITAL w/ QCC"",""price"":0},{""name"":""(166629) SATAjet 4000 HVLP 1.3mm DIGITAL w/ QCC"",""price"":0},{""name"":""(166645) SATAjet 4000 HVLP 1.4mm DIGITAL w/ QCC"",""price"":0},{""name"":""(166652) SATAjet 4000 HVLP 1.5mm DIGITAL w/ QCC"",""price"":0},{""name"":""(168815) SATAjet 4000 HVLP 1.7mm DIGITAL w/ QCC"",""price"":0},{""name"":""(168823) SATAjet 4000 HVLP 1.9mm DIGITAL w/ QCC"",""price"":0},{""name"":""(168831) SATAjet 4000 HVLP 2.2mm DIGITAL w/ QCC"",""price"":0}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
SATA4000RP,Sata Jet 4000 B RP Gun,"[{""name"":""(176794) SATAjet 4000 RP 1.0mm w/ QCC"",""price"":0},{""name"":""(171520) SATAjet 4000 RP 1.1mm w/ QCC"",""price"":0},{""name"":""(169979) SATAjet 4000 RP 1.2mm w/ QCC"",""price"":0},{""name"":""(169995) SATAjet 4000 RP 1.3mm w/ QCC"",""price"":0},{""name"":""(170001) SATAjet 4000 RP 1.4mm w/ QCC"",""price"":0},{""name"":""(176990) SATAjet 4000 RP 1.6mm w/ QCC"",""price"":0},{""name"":""(177014) SATAjet 4000 RP 1.8mm w/ QCC"",""price"":0},{""name"":""(177030) SATAjet 4000 RP 2.0mm w/ QCC"",""price"":0},{""name"":""(177055) SATAjet 4000 RP 2.5mm w/ QCC"",""price"":0},{""name"":""(176982) SATAjet 4000 RP 1.0mm DIGITAL w/ QCC"",""price"":0},{""name"":""(171553) SATAjet 4000 RP 1.1mm DIGITAL w/ QCC"",""price"":0},{""name"":""(170019) SATAjet 4000 RP 1.2mm DIGITAL w/ QCC"",""price"":0},{""name"":""(170035) SATAjet 4000 RP 1.3mm DIGITAL w/ QCC"",""price"":0},{""name"":""(170050) SATAjet 4000 RP 1.4mm DIGITAL w/ QCC"",""price"":0},{""name"":""(177006) SATAjet 4000 RP 1.6mm DIGITAL w/ QCC"",""price"":0},{""name"":""(177022) SATAjet 4000 RP 1.8mm DIGITAL w/ QCC"",""price"":0},{""name"":""(177048) SATAjet 4000 RP 2.0mm DIGITAL w/ QCC"",""price"":0},{""name"":""(177063) SATAjet 4000 RP 2.5mm DIGITAL w/ QCC"",""price"":0}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
SATA5000,Sata Jet 5000 B HVLP Gun,"[{""name"":""(210732) SATAjet 5000 HVLP 1.0mm w/ QCC"",""price"":0},{""name"":""(210740) SATAjet 5000 HVLP 1.2mm w/ QCC"",""price"":0},{""name"":""(210765) SATAjet 5000 HVLP 1.3mm w/ QCC"",""price"":0},{""name"":""(210799) SATAjet 5000 HVLP 1.4mm w/ QCC"",""price"":0},{""name"":""(210823) SATAjet 5000 HVLP 1.5mm w/ QCC"",""price"":0},{""name"":""(210831) SATAjet 5000 HVLP 1.7mm w/ QCC"",""price"":0},{""name"":""(210849) SATAjet 5000 HVLP 1.9mm w/ QCC"",""price"":0},{""name"":""(210856) SATAjet 5000 HVLP 2.2mm w/ QCC"",""price"":0},{""name"":""(211094) SATAjet 5000 HVLP 1.0mm DIGITAL w/ QCC"",""price"":0},{""name"":""(211110) SATAjet 5000 HVLP 1.2mm DIGITAL w/ QCC"",""price"":0},{""name"":""(211136) SATAjet 5000 HVLP 1.3mm DIGITAL w/ QCC"",""price"":0},{""name"":""(211151) SATAjet 5000 HVLP 1.4mm DIGITAL w/ QCC"",""price"":0},{""name"":""(211193) SATAjet 5000 HVLP 1.5mm DIGITAL w/ QCC"",""price"":0},{""name"":""(211201) SATAjet 5000 HVLP 1.7mm DIGITAL w/ QCC"",""price"":0},{""name"":""(211219) SATAjet 5000 HVLP 1.9mm DIGITAL w/ QCC"",""price"":0}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
SATA5000RP,Sata Jet 5000 B RP Gun,"[{""name"":""(215640 SATAjet 5000 RP 1.1mm w/ QCC"",""price"":0},{""name"":""(219858) SATAjet 5000 RP 1.2mm w/ QCC"",""price"":0},{""name"":""(209874) SATAjet 5000 RP 1.3mm w/ QCC"",""price"":0},{""name"":""(209882) SATAjet 5000 RP 1.4mm w/ QCC"",""price"":0},{""name"":""(209890) SATAjet 5000 RP 1.5mm w/ QCC"",""price"":0},{""name"":""(209908) SATAjet 5000 RP 1.7mm w/ QCC"",""price"":0},{""name"":""(209916) SATAjet 5000 RP 1.9mm w/ QCC"",""price"":0},{""name"":""(210138) SATAjet 5000 RP 1.0mm DIGITAL w/ QCC"",""price"":0},{""name"":""(210146) SATAjet 5000 RP 1.1mm DIGITAL w/ QCC"",""price"":0},{""name"":""(210153) SATAjet 5000 RP 1.2mm DIGITAL w/ QCC"",""price"":0},{""name"":""(210179) SATAjet 5000 RP 1.3mm DIGITAL w/ QCC"",""price"":0},{""name"":""(210187 SATAjet 5000 RP 1.4mm DIGITAL w/ QCC"",""price"":0},{""name"":""(210195) SATAjet 5000 RP 1.5mm DIGITAL w/ QCC"",""price"":0},{""name"":""(210203) SATAjet 5000 RP 1.7mm DIGITAL w/ QCC"",""price"":0},{""name"":""(210211) SATAjet 5000 RP 1.9mm DIGITAL w/ QCC"",""price"":0}]","[""No Suggestions""]"
7006-12,Scenix Bismuth Vanadate Yellow,"[{""name"":""Quart ($49.56)"",""price"":4956},{""name"":""Gallon ($188.80)"",""price"":18880}]","[""Less Suggestions"",{""name"":""Createx Scenix  Bismuth Vanadate Yellow Gallon Kit"",""price"":9450},""Parenthesis"",""Match Number: 0""]"
7020-12,Scenix Burnt Sienna (RS),"[{""name"":""Quart ($23.36)"",""price"":2336},{""name"":""Gallon ($89)"",""price"":8900}]","[""Less Suggestions"",{""name"":""Createx Scenix  Burnt Sienna Gallon Kit"",""price"":8900},""Parenthesis"",""Match Number: 0""]"
7018-12,Scenix Burnt Umber (RS),"[{""name"":""Quart ($23.36)"",""price"":2336},{""name"":""Gallon ($89)"",""price"":8900}]","[""Less Suggestions"",{""name"":""Createx Scenix  Burnt Umber Gallon Kit"",""price"":8900},""Parenthesis"",""Match Number: 0""]"
7003-12,Scenix Carbon Black,"[{""name"":""Quart ($23.36)"",""price"":2336},{""name"":""Gallon ($89)"",""price"":8900}]","[""Less Suggestions"",{""name"":""Createx Scenix  Carbon Black Gallon Kit"",""price"":8900},""Parenthesis"",""Match Number: 0""]"
7015-12,Scenix Chromium Oxide Green,"[{""name"":""Quart ($30.19)"",""price"":3019},{""name"":""Gallon ($115)"",""price"":11500}]","[""Less Suggestions"",{""name"":""Createx Scenix  Chromium Oxide Green Gallon Kit"",""price"":11500},""Parenthesis"",""Match Number: 0""]"
4015,Scenix Cross-Linker 4015,"[{""name"":""1oz"",""price"":850},{""name"":""2oz"",""price"":1500},{""name"":""4oz"",""price"":2600}]","[""Success-1"",{""name"":""Createx Scenix Cross Linker 4015 1oz"",""price"":850},{""name"":""Createx Scenix Cross Linker 4015 2oz"",""price"":1500},{""name"":""Createx Scenix Cross Linker 4015 4oz"",""price"":2600}]"
4016,Scenix Cross-Linker 4016,"[{""name"":""1oz"",""price"":850},{""name"":""2oz"",""price"":1500},{""name"":""4oz"",""price"":2600}]","[""Not All Prices Match"",{""name"":""Createx Scenix Cross Linker 4016 1oz"",""price"":858},{""name"":""Createx Scenix Cross Linker 4016 2oz"",""price"":1500},{""name"":""Createx Scenix Cross Linker 4016 4oz"",""price"":2600}]"
7012-12,Scenix Daylight Blue,"[{""name"":""Quart ($35.44)"",""price"":3544},{""name"":""Gallon ($115)"",""price"":11500}]","[""Less Suggestions"",{""name"":""Createx Scenix  Daylight Blue Gallon Kit"",""price"":11500},""Parenthesis"",""Match Number: 0""]"
7005-12,Scenix Diarylide Yellow,"[{""name"":""Quart ($42)"",""price"":4200},{""name"":""Gallon ($160)"",""price"":16000}]","[""Less Suggestions"",{""name"":""Createx Scenix  Diarylide Yellow Gallon Kit"",""price"":16000},""Parenthesis"",""Match Number: 0""]"
7011-12,Scenix Dioxazine Purple,"[{""name"":""Quart ($35.44)"",""price"":3544},{""name"":""Gallon ($135)"",""price"":13500}]","[""Less Suggestions"",{""name"":""Createx Scenix  Dioxazine Purple Gallon Kit"",""price"":13500},""Parenthesis"",""Match Number: 0""]"
7100-12,Scenix Fluorescent Aqua,"[{""name"":""Quart ($57)"",""price"":5700},{""name"":""Gallon ($190)"",""price"":19000}]","[""Less Suggestions"",{""name"":""Createx Scenix Fluorescent  Aqua Gallon Kit"",""price"":19000},""Parenthesis"",""Match Number: 0""]"
7109-12,Scenix Fluorescent Blue,"[{""name"":""Quart ($57)"",""price"":5700},{""name"":""Gallon ($190)"",""price"":19000}]","[""Less Suggestions"",{""name"":""Createx Scenix Fluorescent  Blue Gallon Kit"",""price"":19000},""Parenthesis"",""Match Number: 0""]"
7104-12,Scenix Fluorescent Green,"[{""name"":""Quart ($57)"",""price"":5700},{""name"":""Gallon ($190)"",""price"":19000}]","[""Less Suggestions"",{""name"":""Createx Scenix Fluorescent  Green Gallon Kit"",""price"":19000},""Parenthesis"",""Match Number: 0""]"
7110-12,Scenix Fluorescent Magenta,"[{""name"":""Quart ($57)"",""price"":5700},{""name"":""Gallon ($190)"",""price"":19000}]","[""Less Suggestions"",{""name"":""Createx Scenix Fluorescent  Magenta Gallon Kit"",""price"":19000},""Parenthesis"",""Match Number: 0""]"
7108-12,Scenix Fluorescent Orange,"[{""name"":""Quart ($57)"",""price"":5700},{""name"":""Gallon ($190)"",""price"":19000}]","[""Less Suggestions"",{""name"":""Createx Scenix Fluorescent  Orange Gallon Kit"",""price"":19000},""Parenthesis"",""Match Number: 0""]"
7107-12,Scenix Fluorescent Pink,"[{""name"":""Quart ($57)"",""price"":5700},{""name"":""Gallon ($190)"",""price"":19000}]","[""Less Suggestions"",{""name"":""Createx Scenix Fluorescent  Pink Gallon Kit"",""price"":19000},""Parenthesis"",""Match Number: 0""]"
7101-12,Scenix Fluorescent Purple,"[{""name"":""Quart ($57)"",""price"":5700},{""name"":""Gallon ($190)"",""price"":19000}]","[""Less Suggestions"",{""name"":""Createx Scenix Fluorescent  Purple Gallon Kit"",""price"":19000},""Parenthesis"",""Match Number: 0""]"
7102-12,Scenix Fluorescent Raspberry,"[{""name"":""Quart ($57)"",""price"":5700},{""name"":""Gallon ($190)"",""price"":19000}]","[""Less Suggestions"",{""name"":""Createx Scenix Fluorescent  Raspberry Gallon Kit"",""price"":19000},""Parenthesis"",""Match Number: 0""]"
7103-12,Scenix Fluorescent Red,"[{""name"":""Quart ($57)"",""price"":5700},{""name"":""Gallon ($190)"",""price"":19000}]","[""Less Suggestions"",{""name"":""Createx Scenix Fluorescent  Red Gallon Kit"",""price"":19000},""Parenthesis"",""Match Number: 0""]"
7106-12,Scenix Fluorescent Sunburst,"[{""name"":""Quart ($57)"",""price"":5700},{""name"":""Gallon ($190)"",""price"":19000}]","[""Less Suggestions"",{""name"":""Createx Scenix Fluorescent  Sunburst Gallon Kit"",""price"":19000},""Parenthesis"",""Match Number: 0""]"
7105-12,Scenix Fluorescent Yellow,"[{""name"":""Quart ($57)"",""price"":5700},{""name"":""Gallon ($190)"",""price"":19000}]","[""Less Suggestions"",{""name"":""Createx Scenix Fluorescent  Yellow Gallon Kit"",""price"":19000},""Parenthesis"",""Match Number: 0""]"
7004-12,Scenix Hansa Yellow,"[{""name"":""Quart ($32.81)"",""price"":3281},{""name"":""Gallon ($125)"",""price"":12500}]","[""Less Suggestions"",{""name"":""Createx Scenix  Hansa Yellow Gallon Kit"",""price"":12500},""Parenthesis"",""Match Number: 0""]"
7130,Scenix Invisible UV Glow Clear (Blue Cast),"[{""name"":""2oz UV CLEAR (7130-2)"",""price"":699},{""name"":""4oz UV CLEAR (7130-4)"",""price"":1034},{""name"":""8oz UV CLEAR (7130-8)"",""price"":1881},{""name"":""16oz UV CLEAR (7130-16)"",""price"":3495},{""name"":""32oz UV CLEAR (7130-32)"",""price"":5700},{""name"":""128oz UV CLEAR (7130-12)"",""price"":19000}]","[""More Suggestions:8"",{""name"":""Createx Scenix  UV Glow Clear Gallon Kit"",""price"":12500},{""name"":""Createx Scenix  UV Glow Clear Quart Kit"",""price"":0},{""name"":""Createx Scenix UV Glow Clear (Blue Cast) 2oz"",""price"":699},{""name"":""Createx Scenix UV Glow Clear (Blue Cast) 8oz"",""price"":1881},{""name"":""Createx Scenix UV Glow Clear (Blue Cast) 32oz"",""price"":5700},{""name"":""Createx Scenix UV Glow Clear (Blue Cast) 16oz"",""price"":3495},{""name"":""Createx Scenix UV Glow Clear (Blue Cast) 128oz"",""price"":19000},{""name"":""Createx Scenix UV Glow Clear (Blue Cast) 4oz"",""price"":1043},""Parenthesis"",""Match Number: 0""]"
7142,Scenix Invisible UV Glow Green,"[{""name"":""2oz GREEN UV (7142-2)"",""price"":1830},{""name"":""4oz GREEN UV (7142-4)"",""price"":3486},{""name"":""8oz GREEN UV (7142-8)"",""price"":6640},{""name"":""16oz GREEN UV (7142-16)"",""price"":12075},{""name"":""32oz GREEN UV (7142-32)"",""price"":21000},{""name"":""128oz GREEN UV (7142-12)"",""price"":70000}]","[""Success-1"",{""name"":""Createx Scenix UV Glow Green 2oz"",""price"":1830},{""name"":""Createx Scenix UV Glow Green 4oz"",""price"":3486},{""name"":""Createx Scenix UV Glow Green 8oz"",""price"":6640},{""name"":""Createx Scenix UV Glow Green 16oz"",""price"":12075},{""name"":""Createx Scenix UV Glow Green 32oz"",""price"":21000},{""name"":""Createx Scenix UV Glow Green 128oz"",""price"":70000}]"
7141,Scenix Invisible UV Glow Red,"[{""name"":""2oz RED UV (7141-2)"",""price"":3760},{""name"":""4oz RED UV (7141-4)"",""price"":7162},{""name"":""8oz RED UV (7141-8)"",""price"":13643},{""name"":""16oz RED UV (7141-16)"",""price"":25987},{""name"":""32oz RED UV (7141-32)"",""price"":49500},{""name"":""128oz RED UV (7141-12)"",""price"":160000}]","[""Success-1"",{""name"":""Createx Scenix UV Glow Red 2oz"",""price"":3760},{""name"":""Createx Scenix UV Glow Red 4oz"",""price"":7162},{""name"":""Createx Scenix UV Glow Red 8oz"",""price"":13643},{""name"":""Createx Scenix UV Glow Red 16oz"",""price"":25987},{""name"":""Createx Scenix UV Glow Red 32oz"",""price"":49500},{""name"":""Createx Scenix UV Glow Red 128oz"",""price"":160000}]"
7131,Scenix Invisible UV Glow White (White-Blue Cast),"[{""name"":""2oz WHITE UV (7131-2)"",""price"":799},{""name"":""4oz WHITE UV (7131-4)"",""price"":1195},{""name"":""8oz WHITE UV (7131-8)"",""price"":2174},{""name"":""16oz WHITE UV (7131-16)"",""price"":3953},{""name"":""32oz WHITE UV (7131-32)"",""price"":6875},{""name"":""128oz WHITE UV (7131-12)"",""price"":25000}]","[""More Suggestions:8"",{""name"":""Createx Scenix Fluorescent  Optical White Gallon Kit"",""price"":17500},{""name"":""Createx Scenix  UV White Quart Kit"",""price"":0},{""name"":""Createx Scenix UV Glow White (White-Blue Cast) 2oz"",""price"":799},{""name"":""Createx Scenix UV Glow White (White-Blue Cast) 8oz"",""price"":2174},{""name"":""Createx Scenix UV Glow White (White-Blue Cast) 32oz"",""price"":6875},{""name"":""Createx Scenix UV Glow White (White-Blue Cast) 16oz"",""price"":3953},{""name"":""Createx Scenix UV Glow White (White-Blue Cast) 128oz"",""price"":25000},{""name"":""Createx Scenix UV Glow White (White-Blue Cast) 4oz"",""price"":1195},""Parenthesis"",""Match Number: 0""]"
7143,Scenix Invisible UV Glow Yellow,"[{""name"":""2oz YELLOW UV (7143-2)"",""price"":1243},{""name"":""4oz YELLOW UV (7143-4)"",""price"":2261},{""name"":""8oz YELLOW UV (7143-8)"",""price"":7111},{""name"":""16oz YELLOW UV (7143-16)"",""price"":7475},{""name"":""32oz YELLOW UV (7143-32)"",""price"":13000},{""name"":""128oz YELLOW UV (7143-12)"",""price"":40000}]","[""Success-1"",{""name"":""Createx Scenix UV Glow Yellow 2oz"",""price"":1243},{""name"":""Createx Scenix UV Glow Yellow 4oz"",""price"":2261},{""name"":""Createx Scenix UV Glow Yellow 8oz"",""price"":7111},{""name"":""Createx Scenix UV Glow Yellow 16oz"",""price"":7475},{""name"":""Createx Scenix UV Glow Yellow 32oz"",""price"":13000},{""name"":""Createx Scenix UV Glow Yellow 128oz"",""price"":40000}]"
